row,name,url
104,Daily Grill,https://www.dailygrill.com/
105,Dairy Queen,https://www.dairyqueen.com/
106,Del Frisco's Double Eagle Steak House,https://www.delfriscos.com/
107,Desi District,https://www.desidistrict.com/
108,Dessert Gallery,https://www.dessertgallery.com/
109,Dickey's Barbecue Pit,https://www.dickeys.com/
110,DINE Catering and Events,https://www.dinecateringandevents.com/
111,Dip'd,https://www.dipdberries.com/
112,Dumar's Mediterranean Grill,https://www.dumarsgrill.com/
113,Eden Green Deli,https://www.edengreendeli.com/
114,El Pollo Loco,https://www.elpolloloco.com/
115,El Tapatio Taqueria,https://www.eltapatiotaqueriatx.com/
